case_id,case_name,task_type,time_s,planner,original_start_cell,original_goal_cell,adjusted_start_cell,adjusted_goal_cell,path_found,path_length,num_path_cells,cumulative_sampled_risk,mean_sampled_risk,max_sampled_risk,high_risk_cell_count,high_risk_exposure_ratio,min_distance_to_high_risk_region,runtime_ms,expanded_nodes,lambda_risk_used,collision_count,set_pose_failure_count,replay_success,planned_points,executed_points,final_goal_error,tracking_error
Case 1,Baseline original case,baseline original navigation,30,Standard A*,"(188,0)","(0,188)","(188,0)","(0,188)",True,303.3624817342638,253,0.0,0.0,0.0,0,0.0,18.24828759089466,81.04462999999384,11424,,0,,not_run,253,,,
Case 1,Baseline original case,baseline original navigation,30,Risk-aware A*,"(188,0)","(0,188)","(188,0)","(0,188)",True,303.3624817342638,253,0.0,0.0,0.0,0,0.0,18.24828759089466,76.96092800000542,10715,8.0,0,,not_run,253,,,
Case 1,Baseline original case,baseline original navigation,60,Standard A*,"(188,0)","(0,188)","(188,0)","(0,188)",True,303.3624817342638,253,4.4624520737479136e-05,1.7638150489122189e-07,2.21672e-05,0,0.0,4.0,82.10722900000178,11424,,0,,not_run,253,,,
Case 1,Baseline original case,baseline original navigation,60,Risk-aware A*,"(188,0)","(0,188)","(188,0)","(0,188)",True,303.3624817342638,253,7.240037214834704e-16,2.861674788472215e-18,3.68678e-16,0,0.0,6.4031242374328485,63.922923000006904,9019,8.0,0,,not_run,253,,,
Case 1,Baseline original case,baseline original navigation,90,Standard A*,"(188,0)","(0,188)","(188,0)","(0,188)",True,303.3624817342638,253,2.828085875756571,0.011178205042516091,0.293637,0,0.0,2.0,80.79673000000298,11424,,0,,not_run,253,,,
Case 1,Baseline original case,baseline original navigation,90,Risk-aware A*,"(188,0)","(0,188)","(188,0)","(0,188)",True,304.5340546095176,255,0.28591382998133225,0.0011212307058091461,0.0370272,0,0.0,5.0,57.07912100000101,8051,8.0,0,,not_run,255,,,
Case 1,Baseline original case,baseline original navigation,120,Standard A*,"(188,0)","(0,188)","(188,0)","(0,188)",True,303.3624817342638,253,30.320891927847274,0.11984542263971254,0.551309,4,0.015810276679841896,0.0,83.8645299999996,11424,,0,,not_run,253,,,
Case 1,Baseline original case,baseline original navigation,120,Risk-aware A*,"(188,0)","(0,188)","(188,0)","(0,188)",True,372.4852813742386,371,4.592211738288283e-17,1.2377929213715048e-19,3.40541e-17,0,0.0,4.0,24.6821089999969,3791,8.0,0,,not_run,371,,,
Case 1,Baseline original case,baseline original navigation,150,Standard A*,"(188,0)","(0,188)","(188,0)","(0,188)",True,303.3624817342638,253,53.336615245115595,0.21081666104788774,0.652344,29,0.11462450592885376,0.0,80.37012900000207,11424,,0,,not_run,253,,,
Case 1,Baseline original case,baseline original navigation,150,Risk-aware A*,"(188,0)","(0,188)","(188,0)","(0,188)",True,372.4852813742386,371,1.3363288529165797e-15,3.601964563117465e-18,5.06334e-16,0,0.0,2.0,16.894706000002202,2680,8.0,0,,not_run,371,,,
Case 2,Fire-crossing task,high-risk fire-crossing target-reaching task,30,Standard A*,"(141,167)","(159,33)","(141,167)","(159,33)",True,146.18376618407356,136,8.356176021879828e-14,6.144247074911638e-16,2.99038e-14,0,0.0,17.0,10.397104000006152,1697,,0,,not_run,136,,,
Case 2,Fire-crossing task,high-risk fire-crossing target-reaching task,30,Risk-aware A*,"(141,167)","(159,33)","(141,167)","(159,33)",True,146.18376618407356,136,8.356176021879828e-14,6.144247074911638e-16,2.99038e-14,0,0.0,17.0,8.965802999995276,1433,8.0,0,,not_run,136,,,
Case 2,Fire-crossing task,high-risk fire-crossing target-reaching task,60,Standard A*,"(141,167)","(159,33)","(141,167)","(159,33)",True,146.18376618407356,136,20.566105178250538,0.15122136160478336,0.95425,18,0.1323529411764706,0.0,10.471604000002799,1697,,0,,not_run,136,,,
Case 2,Fire-crossing task,high-risk fire-crossing target-reaching task,60,Risk-aware A*,"(141,167)","(159,33)","(141,167)","(159,33)",True,169.0538238691624,151,0.11916620832720932,0.0007891801875974128,0.0364492,0,0.0,7.810249675906654,21.02520799999752,3259,8.0,0,,not_run,151,,,
Case 2,Fire-crossing task,high-risk fire-crossing target-reaching task,90,Standard A*,"(141,167)","(159,33)","(141,167)","(159,33)",True,146.18376618407356,136,72.73755381378535,0.5348349545131276,0.987865,75,0.5514705882352942,0.0,10.578903000009632,1697,,0,,not_run,136,,,
Case 2,Fire-crossing task,high-risk fire-crossing target-reaching task,90,Risk-aware A*,"(141,167)","(159,33)","(141,167)","(159,33)",True,213.0538238691624,195,0.8918357858901613,0.004573516850718776,0.173046,0,0.0,5.0,40.00681499999814,5890,8.0,0,,not_run,195,,,
Case 2,Fire-crossing task,high-risk fire-crossing target-reaching task,120,Standard A*,"(141,167)","(159,33)","(141,167)","(159,33)",True,146.18376618407356,136,91.22649315000001,0.6707830378676471,0.994761,91,0.6691176470588235,0.0,10.586003999989657,1697,,0,,not_run,136,,,
Case 2,Fire-crossing task,high-risk fire-crossing target-reaching task,120,Risk-aware A*,"(141,167)","(159,33)","(141,167)","(159,33)",True,224.99494936611666,197,15.799404533251764,0.08020002301143027,0.371396,0,0.0,8.06225774829855,85.78073099999983,12671,8.0,0,,not_run,197,,,
Case 2,Fire-crossing task,high-risk fire-crossing target-reaching task,150,Standard A*,"(141,167)","(159,33)","(141,167)","(159,33)",True,146.18376618407356,136,104.4407283,0.767946531617647,0.996676,109,0.8014705882352942,0.0,10.684503999996764,1697,,0,,not_run,136,,,
Case 2,Fire-crossing task,high-risk fire-crossing target-reaching task,150,Risk-aware A*,"(141,167)","(159,33)","(141,167)","(159,33)",True,344.651803615609,315,28.270789653339406,0.08974853858202986,0.497669,0,0.0,1.0,126.95544599999664,19064,8.0,0,,not_run,315,,,
Case 3,Near-fire target task,near-fire reconnaissance target-reaching task,30,Standard A*,"(35,8)","(167,152)","(35,8)","(167,152)",True,227.9655121145938,195,0.0,0.0,0.0,0,0.0,16.401219466856727,54.04271999999821,7533,,0,,not_run,195,,,
Case 3,Near-fire target task,near-fire reconnaissance target-reaching task,30,Risk-aware A*,"(35,8)","(167,152)","(35,8)","(167,152)",True,227.9655121145938,195,0.0,0.0,0.0,0,0.0,16.401219466856727,50.40031799998701,7178,8.0,0,,not_run,195,,,
Case 3,Near-fire target task,near-fire reconnaissance target-reaching task,60,Standard A*,"(35,8)","(167,152)","(35,8)","(167,152)",True,227.9655121145938,195,4.423305075414821,0.022683615771358058,0.538196,2,0.010256410256410256,0.0,52.56761900000129,7533,,0,,not_run,195,,,
Case 3,Near-fire target task,near-fire reconnaissance target-reaching task,60,Risk-aware A*,"(35,8)","(167,152)","(35,8)","(167,152)",True,235.58073580374358,208,6.168726704842679e-14,2.965733992712826e-16,2.76579e-14,0,0.0,10.63014581273465,54.48302000000638,7675,8.0,0,,not_run,208,,,
Case 3,Near-fire target task,near-fire reconnaissance target-reaching task,90,Standard A*,"(35,8)","(167,152)","(35,8)","(167,152)",True,227.9655121145938,195,29.71322684791485,0.15237552229699924,0.980975,23,0.11794871794871795,0.0,64.42872300000602,7533,,0,,not_run,195,,,
Case 3,Near-fire target task,near-fire reconnaissance target-reaching task,90,Risk-aware A*,"(35,8)","(167,152)","(35,8)","(167,152)",True,239.23759005323595,210,0.22603576848284934,0.0010763608022992825,0.0467492,0,0.0,4.0,58.21062100000063,7579,8.0,0,,not_run,210,,,
Case 3,Near-fire target task,near-fire reconnaissance target-reaching task,120,Standard A*,"(35,8)","(167,152)","(35,8)","(167,152)",True,227.9655121145938,195,37.761178651522755,0.193647070007809,0.642735,15,0.07692307692307693,0.0,53.70652000000575,7533,,0,,not_run,195,,,
Case 3,Near-fire target task,near-fire reconnaissance target-reaching task,120,Risk-aware A*,"(35,8)","(167,152)","(35,8)","(167,152)",True,267.37972567696687,234,5.182050532226589,0.022145515094985423,0.280763,0,0.0,7.810249675906654,90.26843299999143,13222,8.0,0,,not_run,234,,,
Case 3,Near-fire target task,near-fire reconnaissance target-reaching task,150,Standard A*,"(35,8)","(167,152)","(35,8)","(167,152)",True,227.9655121145938,195,49.26013420608259,0.25261607285170556,0.689177,14,0.07179487179487179,0.0,54.03551999999934,7533,,0,,not_run,195,,,
Case 3,Near-fire target task,near-fire reconnaissance target-reaching task,150,Risk-aware A*,"(35,8)","(167,152)","(35,8)","(167,152)",True,311.48023074035524,281,7.765675427619064,0.027635855614302717,0.385356,0,0.0,5.385164807134504,104.580337999991,15061,8.0,0,,not_run,281,,,
Case 4,Smoke-affected corridor task,smoke-affected corridor target-reaching task,30,Standard A*,"(185,105)","(6,115)","(185,105)","(6,115)",True,313.89444430272835,283,4.39027315905214e-06,1.5513332717498728e-08,1.38578e-06,0,0.0,3.605551275463989,55.45221999999228,8229,,0,,not_run,283,,,
Case 4,Smoke-affected corridor task,smoke-affected corridor target-reaching task,30,Risk-aware A*,"(185,105)","(6,115)","(185,105)","(6,115)",True,313.89444430272835,283,0.0,0.0,0.0,0,0.0,18.24828759089466,52.62231900000813,7766,8.0,0,,not_run,283,,,
Case 4,Smoke-affected corridor task,smoke-affected corridor target-reaching task,60,Standard A*,"(185,105)","(6,115)","(185,105)","(6,115)",True,313.89444430272835,283,33.706270979990286,0.11910343102470065,0.992159,24,0.08480565371024736,0.0,56.60422099998641,8229,,0,,not_run,283,,,
Case 4,Smoke-affected corridor task,smoke-affected corridor target-reaching task,60,Risk-aware A*,"(185,105)","(6,115)","(185,105)","(6,115)",True,313.89444430272835,283,1.7608850676892903e-09,6.2222087197501424e-12,8.5934e-10,0,0.0,6.4031242374328485,46.41501700000106,6819,8.0,0,,not_run,283,,,
Case 4,Smoke-affected corridor task,smoke-affected corridor target-reaching task,90,Standard A*,"(185,105)","(6,115)","(185,105)","(6,115)",True,313.89444430272835,283,42.4253246754587,0.1499128080404901,0.995494,44,0.15547703180212014,0.0,55.14402000000018,8229,,0,,not_run,283,,,
Case 4,Smoke-affected corridor task,smoke-affected corridor target-reaching task,90,Risk-aware A*,"(185,105)","(6,115)","(185,105)","(6,115)",True,324.5218613006978,287,0.29183168106116875,0.0010168351256486716,0.0370272,0,0.0,1.0,48.23911699999428,7118,8.0,0,,not_run,287,,,
Case 4,Smoke-affected corridor task,smoke-affected corridor target-reaching task,120,Standard A*,"(185,105)","(6,115)","(185,105)","(6,115)",True,313.89444430272835,283,52.329920692446926,0.18491138053868172,0.99431,39,0.13780918727915195,0.0,55.759420000001114,8229,,0,,not_run,283,,,
Case 4,Smoke-affected corridor task,smoke-affected corridor target-reaching task,120,Risk-aware A*,"(185,105)","(6,115)","(185,105)","(6,115)",True,343.1837661840736,333,0.0,0.0,0.0,0,0.0,2.0,19.062005999998632,3168,8.0,0,,not_run,333,,,
Case 4,Smoke-affected corridor task,smoke-affected corridor target-reaching task,150,Standard A*,"(185,105)","(6,115)","(185,105)","(6,115)",True,313.89444430272835,283,67.98023613187456,0.24021284852252495,0.995235,50,0.17667844522968199,0.0,55.37682000000643,8229,,0,,not_run,283,,,
Case 4,Smoke-affected corridor task,smoke-affected corridor target-reaching task,150,Risk-aware A*,"(185,105)","(6,115)","(185,105)","(6,115)",True,343.1837661840736,333,0.0,0.0,0.0,0,0.0,1.0,17.030007000002456,2882,8.0,0,,not_run,333,,,
Case 5,Late-stage high-risk interference task,late-stage high-risk interference target-reaching task,30,Standard A*,"(179,91)","(91,121)","(179,91)","(91,121)",True,109.35533905932738,100,1.4943340248834998e-18,1.4943340248835e-20,9.16286e-19,0,0.0,19.79898987322333,6.680101999990029,1070,,0,,not_run,100,,,
Case 5,Late-stage high-risk interference task,late-stage high-risk interference target-reaching task,30,Risk-aware A*,"(179,91)","(91,121)","(179,91)","(91,121)",True,109.35533905932738,100,1.4943340248834998e-18,1.4943340248835e-20,9.16286e-19,0,0.0,19.79898987322333,5.769302000004473,936,8.0,0,,not_run,100,,,
Case 5,Late-stage high-risk interference task,late-stage high-risk interference target-reaching task,60,Standard A*,"(179,91)","(91,121)","(179,91)","(91,121)",True,109.35533905932738,100,21.348918637779754,0.21348918637779754,0.991466,20,0.2,0.0,6.7664030000003095,1070,,0,,not_run,100,,,
Case 5,Late-stage high-risk interference task,late-stage high-risk interference target-reaching task,60,Risk-aware A*,"(179,91)","(91,121)","(179,91)","(91,121)",True,113.45584412271572,107,2.5156318263221635,0.023510577816094988,0.523278,1,0.009345794392523364,0.0,9.459703000004538,1476,8.0,0,,not_run,107,,,
Case 5,Late-stage high-risk interference task,late-stage high-risk interference target-reaching task,90,Standard A*,"(179,91)","(91,121)","(179,91)","(91,121)",True,109.35533905932738,100,50.67690744064154,0.5067690744064154,0.995347,47,0.47,0.0,6.558501999990085,1070,,0,,not_run,100,,,
Case 5,Late-stage high-risk interference task,late-stage high-risk interference target-reaching task,90,Risk-aware A*,"(179,91)","(91,121)","(179,91)","(91,121)",True,173.9827560572969,158,5.5210931414840525,0.034943627477747166,0.984538,3,0.0189873417721519,0.0,13.05550499999697,2009,8.0,0,,not_run,158,,,
Case 5,Late-stage high-risk interference task,late-stage high-risk interference target-reaching task,120,Standard A*,"(179,91)","(91,121)","(179,91)","(91,121)",True,109.35533905932738,100,59.87737553,0.5987737553,0.9972,47,0.47,0.0,6.712102000008713,1070,,0,,not_run,100,,,
Case 5,Late-stage high-risk interference task,late-stage high-risk interference target-reaching task,120,Risk-aware A*,"(179,91)","(91,121)","(179,91)","(91,121)",True,151.3380951166243,125,48.692997917651766,0.38954398334121415,0.993828,44,0.352,0.0,31.67201200000136,4924,8.0,0,,not_run,125,,,
Case 5,Late-stage high-risk interference task,late-stage high-risk interference target-reaching task,150,Standard A*,"(179,91)","(91,121)","(179,91)","(91,121)",True,109.35533905932738,100,67.75392599999999,0.67753926,0.998186,55,0.55,0.0,6.847303000000693,1070,,0,,not_run,100,,,
Case 5,Late-stage high-risk interference task,late-stage high-risk interference target-reaching task,150,Risk-aware A*,"(179,91)","(91,121)","(179,91)","(91,121)",True,110.18376618407356,100,67.34802600000002,0.6734802600000002,0.997697,55,0.55,0.0,42.817514999995865,6417,8.0,0,,not_run,100,,,
